ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Дьячкова Валентина Олеговна,2020,Целевое,6.4,294.9,Психология,п. Петропавловск-Камчатский,+7 019 364 84 40,,68.0,,71.0,92.0,
Молчанова Мария Вячеславовна,2022,Целевое,8.7,341.0,Информатика,г. Игарка,+7 933 541 43 53,89.0,81.0,,,,84.0
Лидия Львовна Сафонова,2019,Бюджет,8.1,150.1,Философия,ст. Льгов,+73723962336,,11.0,22.0,,,36.0
Матвеев Капитон Якубович,2022,Платка,9.1,385.8,История,п. Глазов,8 768 662 4374,100.0,,,95.0,,100.0
Анна Яковлевна Жукова,2023,Бюджет,7.2,358.0,Прикладная информатика,д. Истра,8 897 986 1915,86.0,100.0,,,100.0,
Устинов Онуфрий Захарьевич,2022,Целевое,8.2,306.6,История,г. Дагомыс,+7 335 198 7229,,64.0,,,76.0,85.0
Роман Трофимович Лобанов,2023,Бюджет,6.6,313.1,Философия,п. Щельяюр,8 466 817 40 20,,,95.0,72.0,,80.0
Меркушева Виктория Макаровна,2021,Целевое,6.7,231.7,История,к. Томск,8 196 275 44 93,,48.0,53.0,,64.0,
Евдокимова Элеонора Богдановна,2023,Платка,7.6,249.0,Прикладная математика,клх Радужный,+7 227 438 18 03,64.0,,,53.0,56.0,
Марина Кузьминична Бирюкова,2020,Целевое,9.1,233.1,Кибербезопасность,г. Якутск,+7 817 366 7397,,47.0,,,53.0,42.0
Александрова Нина Павловна,2023,Целевое,7.8,240.6,Кибербезопасность,клх Мезень,+7 101 623 0101,,48.0,59.0,,56.0,
Титова Нонна Рубеновна,2022,Целевое,7.5,267.3,Информатика,клх Когалым,+7 (548) 184-11-34,61.0,56.0,,,75.0,
Ян Зиновьевич Ширяев,2023,Целевое,5.3,344.4,Международные отношения,клх Краснокамск,8 (976) 107-8265,,91.0,,,100.0,100.0
Борисова Тамара Наумовна,2019,Платка,8.6,214.7,История,ст. Данков,+7 475 389 7924,,48.0,,51.0,,30.0
Наумова Ксения Никифоровна,2021,Целевое,7.2,304.8,Психология,клх Сосногорск,+7 039 642 55 45,76.0,,,82.0,,75.0
Мясникова Ирина Романовна,2023,Целевое,6.3,245.2,Кибербезопасность,к. Сузун,+7 (694) 299-8990,,,51.0,69.0,,62.0
Дарья Кузьминична Лыткина,2023,Целевое,7.7,295.0,Кибербезопасность,к. Шамары,+7 (098) 303-1204,76.0,,,,73.0,69.0
Алексей Яковлевич Кошелев,2020,Бюджет,7.5,327.2,Прикладная математика,клх Новая Игирма,85251272311,,,85.0,100.0,67.0,
Мишин Пимен Адамович,2022,Платка,6.8,352.7,Лечебное дело,с. Можайск,+72271284838,89.0,,96.0,,,100.0
Юлий Вячеславович Силин,2022,Целевое,7.3,316.5,Кибербезопасность,г. Гусь-Хрустальный,8 (376) 399-77-15,,,,93.0,69.0,82.0
Федотов Кузьма Трифонович,2023,Бюджет,7.7,280.9,Информатика,клх Юрьевец (Иван.),87559843385,,70.0,,,57.0,77.0
Фомин Станимир Демьянович,2022,Платка,8.0,282.1,Информатика,к. Ардон,81987561766,,70.0,81.0,,,51.0
Самойлова Любовь Ефимовна,2021,Целевое,8.7,321.0,Лечебное дело,клх Любань,+7 076 448 42 65,82.0,67.0,,,,85.0
Фортунат Харламович Щукин,2020,Платка,7.8,286.1,Психология,г. Ялуторовск,8 135 170 8603,,59.0,64.0,,85.0,
Архипова Майя Руслановна,2021,Целевое,9.1,303.7,Международные отношения,клх Учалы,+7 (898) 827-20-33,,54.0,80.0,,,79.0
тов. Максимова Марина Викторовна,2021,Целевое,7.0,227.1,Прикладная информатика,г. Слюдянка,84493087533,59.0,60.0,,,38.0,
Давыд Федосьевич Щукин,2023,Целевое,9.1,294.7,Философия,клх Югорск,+7 (704) 803-89-78,77.0,,,,69.0,58.0
Синклитикия Альбертовна Уварова,2020,Платка,6.5,326.3,Философия,п. Усть-Калманка,+7 856 385 0911,84.0,90.0,,87.0,,
Ираида Эдуардовна Голубева,2022,Целевое,7.5,348.7,Лечебное дело,ст. Андреаполь,8 (707) 114-6148,,100.0,84.0,,,90.0
Романов Леонтий Гавриилович,2023,Платка,7.5,319.8,Прикладная информатика,с. Владивосток,+74694814348,,86.0,85.0,,74.0,
Антип Всеволодович Громов,2023,Целевое,7.4,333.9,Прикладная математика,клх Бирск,+7 848 711 29 43,85.0,,89.0,,86.0,
Сысоева Валентина Степановна,2023,Бюджет,7.1,326.5,Прикладная информатика,к. Ангарск,88097206830,69.0,,96.0,90.0,,
Шилова Олимпиада Рубеновна,2022,Платка,7.4,354.7,Кибербезопасность,п. Оленегорск (Якут.),8 013 988 1529,83.0,,,100.0,,98.0
Павлова Октябрина Геннадьевна,2019,Целевое,7.7,278.7,Международные отношения,к. Боровск,8 (205) 216-43-83,,,61.0,,76.0,65.0
Анисимова Эмилия Кузьминична,2020,Платка,5.3,353.4,Прикладная информатика,г. Астрахань,+7 532 404 3126,100.0,100.0,,100.0,,
Васильев Симон Валерианович,2023,Бюджет,6.9,286.3,Радиофизика,п. Великий Устюг,+70330179912,,,83.0,73.0,61.0,
Олимпиада Ильинична Ефимова,2020,Бюджет,10.0,231.9,Психология,с. Ростов,+7 433 356 94 97,39.0,,44.0,,,49.0
Цветков Савватий Феоктистович,2019,Бюджет,9.9,258.5,Философия,с. Чебаркуль,+7 (643) 480-8204,,30.0,,67.0,63.0,
Вера Викторовна Емельянова,2021,Платка,10.0,264.0,Кибербезопасность,клх Находка,+7 039 848 1756,60.0,,,,50.0,54.0
Крылова Иванна Алексеевна,2023,Платка,7.6,259.2,Философия,г. Данков,8 274 482 66 09,,57.0,60.0,66.0,,
Новикова Светлана Валериевна,2020,Целевое,8.2,314.5,Прикладная математика,г. Белоярский,+7 (073) 180-91-27,,79.0,81.0,,,72.0
Пимен Ефстафьевич Лазарев,2021,Платка,7.4,318.4,История,клх Урюпинск,8 753 160 4164,89.0,,68.0,,87.0,
Фролов Арефий Германович,2022,Платка,6.8,221.9,Радиофизика,с. Челябинск,8 (246) 909-4136,,40.0,,52.0,62.0,
Селиван Ярославович Вишняков,2019,Бюджет,7.8,346.7,Лечебное дело,г. Ардон,+79788594552,,100.0,69.0,,,100.0
Рожкова Людмила Геннадиевна,2019,Платка,8.2,310.7,Психология,с. Новочеркасск,+7 (777) 984-0363,83.0,,74.0,,,72.0
Аполлинарий Артёмович Пахомов,2021,Платка,8.9,325.6,Психология,д. Наро-Фоминск,+7 (571) 648-0015,81.0,,,73.0,83.0,
Федорова Марина Юльевна,2021,Целевое,7.5,312.8,Международные отношения,д. Черкесск,8 (412) 608-84-15,,,53.0,89.0,96.0,
Людмила Валериевна Носкова,2021,Бюджет,8.0,295.9,Прикладная информатика,г. Избербаш,+7 970 770 44 16,,60.0,,,77.0,79.0
Афанасий Богданович Петухов,2021,Платка,8.6,260.4,Кибербезопасность,клх Новый Оскол,8 (431) 252-2526,68.0,,61.0,,45.0,
Афанасий Валентинович Большаков,2022,Бюджет,8.0,335.2,Радиофизика,к. Комсомольск-на-Амуре,+7 (214) 734-7819,,77.0,,,88.0,90.0
Александра Богдановна Лазарева,2023,Платка,7.9,379.2,История,ст. Верещагино (Перм.),+7 (627) 447-65-09,100.0,,100.0,,100.0,
Евдокимова Лукия Васильевна,2019,Целевое,6.6,312.1,Прикладная информатика,ст. Павловская,+7 026 778 8755,,84.0,,,77.0,85.0
Лучезар Гавриилович Пономарев,2023,Бюджет,5.2,256.3,История,с. Выборг,+7 (462) 557-04-38,,,64.0,66.0,74.0,
Елизавета Анатольевна Зиновьева,2023,Бюджет,8.6,335.3,Прикладная информатика,п. Нурлат,+7 527 741 54 61,,73.0,89.0,,,87.0
Михей Измаилович Егоров,2020,Целевое,8.5,215.0,Информатика,к. Владимир,+7 962 096 4215,,,,50.0,40.0,40.0
Василиса Наумовна Большакова,2022,Бюджет,6.0,272.1,Международные отношения,ст. Саров (Морд.),+7 (188) 308-66-59,89.0,,53.0,,,70.0
Фёкла Геннадьевна Гусева,2023,Бюджет,4.0,278.0,Прикладная математика,клх Мокшан,8 680 763 70 60,,65.0,,,81.0,92.0
Порфирий Антипович Кузьмин,2022,Платка,6.9,348.1,Прикладная математика,с. Братск,+7 (730) 506-2037,80.0,,99.0,100.0,,
Елена Петровна Дементьева,2022,Платка,8.8,358.7,Прикладная информатика,ст. Бомнак,+7 539 471 92 61,78.0,,,100.0,93.0,
Селиверстов Гремислав Эдгарович,2022,Бюджет,5.4,353.8,Кибербезопасность,п. Октябрьское (Хант.),+7 535 253 29 57,,100.0,100.0,,,100.0
Котова Алина Алексеевна,2022,Платка,6.5,253.1,Радиофизика,ст. Амурск,8 (142) 108-83-82,60.0,,,,67.0,61.0
Нонна Натановна Белова,2019,Целевое,7.7,349.9,Философия,д. Петропавловск-Камчатский,87383187399,94.0,,83.0,,96.0,
Ольга Афанасьевна Горбачева,2019,Бюджет,5.9,297.8,Лечебное дело,с. Невьянск,+7 (741) 577-1691,,,79.0,,73.0,87.0
Ефимов Эммануил Ермилович,2019,Бюджет,7.7,255.3,Информатика,п. Орехово-Зуево,+7 (063) 366-30-94,,52.0,,,60.0,66.0
Григорьева Ирина Николаевна,2022,Бюджет,7.8,352.2,Кибербезопасность,с. Стрежевой,8 (995) 179-47-67,,87.0,95.0,,,92.0
Фаина Болеславовна Сысоева,2021,Бюджет,8.6,278.1,Радиофизика,д. Омск,+7 (664) 023-89-26,40.0,,,73.0,79.0,
Осипова Любовь Кузьминична,2023,Бюджет,6.8,360.6,Прикладная информатика,к. Омск,+7 954 377 97 37,93.0,,100.0,100.0,,
Никандр Юльевич Васильев,2023,Бюджет,7.0,316.6,Лечебное дело,д. Томпа,+7 (662) 813-8410,,,,71.0,85.0,91.0
Горбачев Юрий Ильясович,2019,Платка,6.8,254.4,Прикладная математика,п. Мончегорск,8 (180) 070-2139,,,63.0,,47.0,76.0
Элеонора Владиславовна Зиновьева,2020,Целевое,9.2,251.4,История,п. Оленек,+7 573 716 0168,59.0,48.0,52.0,,,
Всемил Димитриевич Лукин,2023,Целевое,8.7,340.5,Кибербезопасность,к. Бодайбо,8 (771) 568-2464,71.0,85.0,97.0,,,
Адриан Гурьевич Сазонов,2023,Бюджет,8.5,294.8,Прикладная математика,с. Каргасок,+7 581 707 92 30,,66.0,,,61.0,83.0
Ильина Евпраксия Рубеновна,2023,Целевое,6.1,310.7,Информатика,п. Токма,8 (142) 811-97-00,74.0,,82.0,,,94.0
Константин Тихонович Суханов,2022,Бюджет,8.2,370.2,Радиофизика,к. Шали,87328212398,97.0,91.0,,,,100.0
Борис Антипович Казаков,2022,Бюджет,8.4,282.9,Информатика,к. Кизляр,+7 (499) 334-20-49,,66.0,65.0,,,68.0
Давыд Анисимович Борисов,2022,Бюджет,7.3,248.7,Международные отношения,с. Горно-Алтайск,+7 (381) 519-92-87,52.0,58.0,66.0,,,
Измаил Фокич Горбунов,2019,Целевое,7.5,375.3,Радиофизика,с. Талдом,8 446 136 9014,100.0,,100.0,,,100.0
Никонова Дарья Евгеньевна,2020,Платка,8.4,329.6,Международные отношения,с. Троицко-Печорск,8 (790) 548-07-32,,91.0,68.0,87.0,,
Копылов Ярослав Адамович,2021,Бюджет,7.1,333.8,Психология,ст. Ирбит,+7 (963) 596-6484,,,87.0,86.0,90.0,
Творимир Аксёнович Лукин,2022,Целевое,5.7,274.4,Прикладная информатика,с. Тюмень,+7 (945) 773-21-00,82.0,,,67.0,68.0,
Милий Бенедиктович Козлов,2020,Целевое,7.2,320.3,Международные отношения,к. Новочеркасск,8 (606) 265-7324,84.0,,76.0,,88.0,
Воронцов Иларион Захарьевич,2020,Платка,5.5,327.3,Лечебное дело,г. Советский,8 (350) 898-7174,,93.0,93.0,86.0,,
Доронина Анжела Матвеевна,2019,Целевое,6.0,293.9,Радиофизика,п. Оха,+7 508 469 4701,,,82.0,,69.0,83.0
Лука Даниилович Степанов,2020,Целевое,8.2,284.7,Международные отношения,г. Хоста,8 628 163 32 79,69.0,59.0,,,,75.0
Иванна Эльдаровна Смирнова,2023,Целевое,9.4,313.0,Философия,ст. Сергиев Посад,+7 322 212 00 46,74.0,63.0,,,82.0,
Шестаков Любомир Захарьевич,2023,Платка,8.1,252.6,Философия,к. Элиста,8 (940) 783-20-98,68.0,,,50.0,,54.0
Любовь Наумовна Павлова,2020,Платка,6.5,322.0,История,д. Старый Оскол,+7 889 635 6224,,86.0,,88.0,,83.0
Оксана Тимуровна Князева,2020,Целевое,7.5,370.1,Информатика,клх Саратов,8 (108) 959-19-86,,100.0,95.0,100.0,,
Евгения Тимофеевна Соколова,2023,Целевое,4.8,280.5,Кибербезопасность,г. Щельяюр,+76811396471,71.0,88.0,,,,73.0
Баранов Евлампий Борисович,2020,Платка,8.2,354.1,Международные отношения,г. Якутск,80830591292,100.0,,80.0,,,92.0
Ия Аскольдовна Зимина,2023,Целевое,7.7,271.3,Международные отношения,г. Хужир,+7 (055) 626-4506,68.0,74.0,,,52.0,
Фокина Людмила Ефимовна,2022,Платка,8.1,283.9,Кибербезопасность,ст. Морозовск,+7 812 076 48 11,59.0,66.0,78.0,,,
Громова Татьяна Вениаминовна,2023,Платка,6.4,363.5,Информатика,г. Белокуриха,+7 (275) 165-64-25,,,100.0,100.0,100.0,
Евсеева Феврония Робертовна,2019,Бюджет,7.5,329.0,Радиофизика,г. Плесецк,8 334 861 7465,91.0,,,90.0,73.0,
Ситникова Эмилия Феликсовна,2020,Целевое,6.9,258.4,Прикладная математика,клх Александровск,+7 271 492 6813,48.0,,67.0,74.0,,
Самсонов Петр Ермолаевич,2020,Целевое,7.2,314.0,История,с. Усть-Катав,8 368 442 3490,,75.0,,96.0,,71.0
Козлов Кузьма Иосипович,2023,Платка,6.7,295.2,Прикладная математика,с. Балашиха,87117756520,66.0,,,82.0,,80.0
Олимпиада Ждановна Королева,2023,Целевое,8.7,366.1,Информатика,г. Элиста,8 (653) 251-1918,,,,100.0,79.0,100.0
Фокина Пелагея Антоновна,2021,Целевое,6.0,259.5,Кибербезопасность,клх Лысьва,+7 352 575 5681,,71.0,,56.0,,72.0
Леонтий Григорьевич Зыков,2019,Бюджет,8.3,311.2,Лечебное дело,г. Обнинск,8 960 240 39 47,76.0,,71.0,,81.0,
Мария Болеславовна Никифорова,2023,Целевое,9.4,341.4,Радиофизика,г. Междуреченский,8 (674) 516-4849,99.0,85.0,,,63.0,
Юлиан Геннадиевич Орлов,2019,Платка,8.6,287.1,Лечебное дело,г. Тосно,83433000276,58.0,,69.0,,,74.0
Калашникова Синклитикия Матвеевна,2021,Целевое,6.0,285.0,Радиофизика,клх Сеймчан,+7 949 338 10 27,57.0,,,97.0,71.0,
Глафира Ильинична Бобылева,2022,Платка,7.7,311.4,Прикладная математика,клх Рыбинск,+7 (019) 109-2527,,,,67.0,90.0,77.0
Юдина Алла Львовна,2020,Бюджет,8.3,332.2,История,п. Зарайск,+7 974 396 33 97,100.0,67.0,,,,82.0
Муравьев Устин Адрианович,2019,Целевое,7.4,332.0,История,к. Юровск,8 (696) 636-2319,,,91.0,70.0,97.0,
Галина Федоровна Дроздова,2022,Платка,6.2,305.0,Информатика,г. Верхний Уфалей,8 (648) 658-06-02,74.0,81.0,,88.0,,
Быков Остромир Исидорович,2023,Целевое,8.1,286.6,Прикладная математика,клх Нязепетровск,8 (283) 949-75-65,,68.0,58.0,80.0,,
г-н Соболев Христофор Зиновьевич,2020,Целевое,6.9,202.4,Психология,с. Минусинск,+7 (150) 318-3278,,,39.0,36.0,,58.0
Прокл Геннадиевич Одинцов,2020,Целевое,9.2,334.1,Информатика,п. Крымск,+7 (285) 966-1861,,,94.0,,76.0,72.0
Егорова Марина Ефимовна,2021,Платка,6.5,365.0,Информатика,с. Шелехов,+7 897 781 5899,100.0,,100.0,100.0,,
Олимпиада Степановна Петухова,2021,Бюджет,5.7,346.0,Прикладная информатика,п. Верхнее Пенжино,82534999884,,,96.0,98.0,,95.0
Евпраксия Львовна Мишина,2021,Целевое,9.9,372.9,Философия,д. Бологое,+7 (122) 250-16-71,93.0,,,,89.0,92.0
Моисеев Платон Борисович,2019,Целевое,8.6,385.7,Лечебное дело,г. Муравленко,8 066 910 35 26,,100.0,,,100.0,100.0
Бажен Ефремович Сергеев,2021,Целевое,8.3,325.0,История,ст. Новороссийка,+75935858415,81.0,,74.0,,,87.0
Алексеев Всемил Артурович,2022,Бюджет,6.2,311.8,Прикладная информатика,г. Каменск-Шахтинский,8 (806) 420-5488,,76.0,84.0,,90.0,
Алина Ивановна Гусева,2019,Платка,7.5,347.9,Радиофизика,д. Омск,8 (670) 680-4592,93.0,,99.0,,,81.0
Мир Аверьянович Гусев,2021,Платка,8.5,346.2,Психология,к. Кунгур,+74320824430,88.0,,,73.0,100.0,
Алина Станиславовна Архипова,2022,Платка,8.6,299.7,Прикладная информатика,п. Астрахань,8 382 778 12 42,,70.0,76.0,68.0,,
Василиса Тарасовна Власова,2020,Платка,6.7,313.1,Прикладная информатика,к. Белогорск (Амур.),8 (718) 141-8806,80.0,,,,81.0,85.0
Марина Константиновна Исакова,2019,Бюджет,4.9,308.2,История,с. Усинск,+7 454 035 09 58,,84.0,,75.0,100.0,
Вацлав Иосифович Калинин,2023,Платка,7.0,354.3,Радиофизика,ст. Беслан,+7 (542) 616-9837,,100.0,,95.0,,89.0
Горбачева Лариса Евгеньевна,2022,Бюджет,9.0,367.5,История,п. Бодайбо,8 (543) 516-50-05,100.0,,78.0,,100.0,
Василиса Рубеновна Петухова,2023,Бюджет,8.0,312.9,Кибербезопасность,г. Котельнич,81122525472,78.0,,72.0,,,83.0
Анжелика Валентиновна Гришина,2021,Платка,6.7,232.4,Прикладная информатика,п. Туапсе,+77822151494,,45.0,77.0,,,43.0
Лихачев Тимофей Георгиевич,2020,Платка,9.0,348.8,Международные отношения,п. Обоянь,+7 (918) 821-8810,93.0,89.0,,,,77.0
Станислав Германович Мухин,2019,Платка,8.8,291.4,История,к. Талдом,+7 (864) 943-6279,,62.0,69.0,,,72.0
Ксения Федоровна Панфилова,2023,Бюджет,7.8,355.1,Психология,к. Всеволожск,8 648 535 16 83,,,95.0,86.0,,96.0
Галина Кирилловна Самсонова,2019,Платка,7.5,243.4,Философия,с. Кизилюрт,8 149 403 2642,,45.0,,,68.0,55.0
Шилова Светлана Семеновна,2022,Платка,8.7,287.4,Психология,г. Комсомольск-на-Амуре,+7 (357) 497-8226,,,73.0,,65.0,62.0
Аксенов Амвросий Власович,2021,Целевое,7.4,189.0,Философия,ст. Мончегорск,+75050606790,45.0,,31.0,,,39.0
тов. Капустина Раиса Алексеевна,2020,Платка,7.6,218.8,История,п. Наро-Фоминск,8 858 369 5205,50.0,41.0,,,,52.0
Дарья Ильинична Гуляева,2020,Платка,9.5,278.1,Философия,ст. Нязепетровск,+74248757513,66.0,55.0,,,,62.0
Ким Герасимович Прохоров,2019,Целевое,6.1,342.2,Информатика,д. Черский,+7 746 193 4541,98.0,,85.0,,98.0,
Маргарита Егоровна Носкова,2019,Целевое,8.7,336.2,Психология,клх Бузулук,8 095 217 31 12,81.0,,71.0,,,97.0
Орлова Фаина Леонидовна,2019,Платка,5.9,300.1,Психология,г. Канск,8 221 323 9687,87.0,,77.0,,,77.0
г-н Шарапов Христофор Валерьянович,2020,Платка,5.7,342.6,Радиофизика,с. Пермь,+7 097 020 9477,99.0,,100.0,,,87.0
Эмилия Захаровна Константинова,2019,Платка,7.1,319.0,Информатика,к. Тихвин,87437545160,88.0,,,,83.0,77.0
Горбунов Евсей Федосеевич,2023,Целевое,7.8,333.7,Философия,клх Шерегеш,8 (125) 813-8686,,,,84.0,96.0,76.0
Пелагея Ефимовна Пономарева,2023,Целевое,5.6,274.7,Лечебное дело,с. Надым,+7 (420) 851-99-66,71.0,,,80.0,68.0,
Афанасий Архипович Рябов,2021,Бюджет,6.9,369.0,История,с. Елабуга,+7 260 024 90 75,100.0,,,100.0,100.0,
Селезнев Ерофей Феофанович,2022,Платка,6.7,309.7,Прикладная информатика,клх Сузун,+7 (564) 365-87-08,,,,89.0,72.0,82.0
Агап Евсеевич Беляев,2021,Бюджет,8.3,268.2,Международные отношения,с. Магнитогорск,8 425 595 90 15,69.0,,53.0,,63.0,
Никон Артемьевич Панов,2021,Платка,8.1,370.7,Философия,с. Павловский Посад,+70191240335,,,100.0,,100.0,90.0
Игнатов Марк Авдеевич,2019,Платка,8.5,308.4,Прикладная информатика,ст. Ельня,8 389 582 00 60,,75.0,,90.0,,58.0
Фирс Трофимович Максимов,2019,Целевое,7.2,330.5,Философия,к. Калачинск,86962409342,,83.0,75.0,,100.0,
Прасковья Максимовна Чернова,2022,Бюджет,7.9,340.6,Международные отношения,п. Ребриха,8 (557) 889-5294,,78.0,,,100.0,84.0
Наталья Тимуровна Гришина,2019,Платка,8.3,323.3,Прикладная информатика,к. Слюдянка,8 (343) 193-2079,78.0,67.0,,,,95.0
Симон Харлампьевич Романов,2021,Бюджет,6.8,309.4,Философия,к. Ишим,+7 (340) 248-7299,90.0,,,84.0,67.0,
Ираида Тимуровна Щукина,2019,Целевое,5.2,304.0,Информатика,к. Кедровый,+7 835 912 95 63,82.0,,87.0,,83.0,
Чернова Глафира Вениаминовна,2020,Платка,6.0,287.9,Лечебное дело,к. Бугуруслан,8 (102) 671-29-41,86.0,,,,64.0,78.0
Виноградова Нинель Валентиновна,2022,Целевое,7.9,360.1,Радиофизика,к. Шадринск,8 (285) 037-7182,85.0,,100.0,,,96.0
Марина Павловна Рожкова,2019,Целевое,6.2,309.0,История,п. Нягань,+7 (652) 449-7673,,,75.0,,100.0,72.0
Носкова Марфа Олеговна,2022,Платка,5.9,288.1,Психология,д. Нарьян-Мар,8 (134) 882-11-58,,,76.0,93.0,60.0,
Валентина Егоровна Кулагина,2019,Целевое,7.3,321.5,Философия,д. Киржач,8 662 331 8158,,,74.0,82.0,92.0,
Остап Чеславович Кулаков,2021,Бюджет,6.5,275.8,Международные отношения,с. Карталы,+7 226 748 15 53,,76.0,,56.0,,79.0
Третьякова Анастасия Геннадьевна,2023,Целевое,8.6,362.1,История,с. Вендинга,+7 209 459 9405,,100.0,,,99.0,77.0
Бажен Даниилович Борисов,2022,Целевое,6.1,337.4,Международные отношения,клх Шилка,+7 (820) 186-96-42,,89.0,,87.0,100.0,
Нестерова Татьяна Максимовна,2023,Бюджет,7.0,322.0,Кибербезопасность,г. Междуреченский,88605032587,75.0,90.0,,87.0,,
Лавр Виленович Селезнев,2021,Бюджет,7.6,309.7,Кибербезопасность,д. Усть-Илимск,+7 (529) 086-0403,,78.0,87.0,69.0,,
Акулина Аскольдовна Шарова,2021,Целевое,10.0,286.0,Радиофизика,г. Касимов,+78567067960,,,65.0,,61.0,60.0
Дьячкова Дарья Ждановна,2023,Бюджет,10.0,342.0,Кибербезопасность,с. Сузун,+7 183 451 30 98,94.0,,,,70.0,78.0
Шарапова Варвара Оскаровна,2022,Целевое,6.5,245.6,Международные отношения,клх Звенигород,8 132 229 5632,66.0,,70.0,,45.0,
Александров Селиван Гурьевич,2021,Бюджет,8.6,308.1,История,г. Ногинск (Моск.),8 (641) 247-00-61,,82.0,55.0,,,85.0
Гаврилов Иосиф Архипович,2019,Платка,6.4,233.3,Лечебное дело,п. Кабанск,8 366 032 2260,,,57.0,55.0,,57.0
Яковлева Глафира Вениаминовна,2022,Целевое,7.2,307.2,Международные отношения,д. Тимашевск,+7 011 104 04 28,88.0,,,,71.0,76.0
Воробьева Фаина Руслановна,2022,Целевое,10.0,319.0,Прикладная информатика,к. Звенигород,8 682 716 47 42,73.0,,84.0,,,62.0
Аполлон Августович Лыткин,2023,Бюджет,9.6,306.1,Психология,ст. Оленек,8 (361) 795-3167,,71.0,75.0,64.0,,
Исаева Евфросиния Федоровна,2020,Целевое,8.8,335.2,История,к. Снежинск,8 559 962 1061,,81.0,77.0,,,89.0
Шилова Лариса Юльевна,2022,Целевое,7.4,267.2,Психология,ст. Игнашино,88559338399,66.0,,,64.0,63.0,
Акулина Семеновна Игнатова,2023,Платка,8.5,373.2,Информатика,к. Ямбург,+7 405 523 50 50,,,,100.0,91.0,97.0
Жданова Виктория Тарасовна,2020,Платка,6.9,211.1,Прикладная математика,п. Токсово,+7 971 908 64 92,,50.0,48.0,44.0,,
Максимов Анисим Владиленович,2022,Платка,6.8,209.5,Прикладная информатика,клх Кировск (Мурм.),+7 200 423 8337,,54.0,,53.0,,35.0
Антонина Рубеновна Трофимова,2020,Бюджет,9.0,303.3,История,к. Сургут (Хант.),+73649033306,73.0,78.0,,,62.0,
Ефремова Наталья Архиповна,2022,Бюджет,8.2,324.2,Лечебное дело,с. Дивногорск,+7 (076) 837-74-70,85.0,,83.0,,74.0,
Лариса Эдуардовна Никифорова,2019,Целевое,9.2,353.5,История,д. Иркутск,86003948207,94.0,72.0,,,95.0,
Ковалева Ангелина Георгиевна,2023,Бюджет,8.0,374.9,История,к. Солнечногорск,8 908 793 21 47,99.0,96.0,,,100.0,
Кулагин Максимильян Артурович,2021,Целевое,6.9,293.2,Радиофизика,г. Костомукша,85311134942,75.0,,71.0,78.0,,
Анжела Эльдаровна Стрелкова,2019,Платка,9.5,327.4,Лечебное дело,г. Кежма,+7 911 203 95 42,79.0,,76.0,,77.0,
Ирина Ефимовна Князева,2020,Целевое,8.0,342.8,Международные отношения,ст. Чебаркуль,+7 009 491 3752,,89.0,97.0,,,77.0
Яковлев Евдоким Жоресович,2020,Целевое,6.2,339.9,Радиофизика,клх Кабанск,+7 (721) 920-6678,96.0,90.0,,,,92.0
Горшкова Ия Наумовна,2022,Бюджет,8.6,271.8,Информатика,ст. Гудермес,+7 576 380 9334,60.0,,,62.0,,64.0
Суворов Харитон Феодосьевич,2021,Целевое,6.7,287.1,Философия,к. Каменномостский,+71094883277,,75.0,,,80.0,65.0
Ермакова Марфа Вадимовна,2023,Бюджет,8.2,359.6,Философия,г. Калуга,8 (486) 436-80-78,87.0,,,99.0,,92.0
Авдеев Чеслав Федотович,2019,Целевое,8.1,235.6,Лечебное дело,ст. Оленегорск (Якут.),8 (882) 433-7249,42.0,,58.0,,,55.0
Измаил Елисеевич Капустин,2022,Платка,8.3,249.5,Информатика,клх Тотьма,+7 684 026 6077,43.0,63.0,,,61.0,
Соловьева Надежда Валериевна,2023,Бюджет,6.3,267.9,Прикладная математика,"ст. Москва, МГУ",+7 (880) 744-08-10,,62.0,,,73.0,70.0
Шашков Петр Чеславович,2019,Бюджет,7.2,192.8,Прикладная информатика,к. Асбест,+7 (354) 666-8577,44.0,,,53.0,,24.0
Анжелика Тарасовна Баранова,2020,Платка,7.9,337.0,Лечебное дело,клх Кизел,82450226006,89.0,,,78.0,,91.0
Трофим Владиленович Захаров,2020,Целевое,8.2,316.3,Прикладная информатика,д. Дно,8 (872) 496-14-25,84.0,81.0,69.0,,,
Медведев Савватий Владиславович,2021,Платка,7.9,270.0,Прикладная математика,клх Богучар,+7 (391) 465-9210,,58.0,65.0,68.0,,
Дьячков Авксентий Власович,2022,Целевое,9.1,382.9,Прикладная информатика,г. Поярково,+7 254 758 4453,,100.0,92.0,,,100.0
Субботина Марина Геннадьевна,2019,Бюджет,7.8,365.0,Кибербезопасность,клх Углич,8 (577) 056-5473,,,94.0,98.0,,95.0
Боян Фокич Савельев,2023,Бюджет,9.4,381.8,Прикладная математика,ст. Ишим,8 096 613 1215,,,,100.0,95.0,93.0
Некрасов Карл Харлампович,2021,Бюджет,7.9,277.4,Прикладная информатика,клх Казань,8 (317) 654-06-37,47.0,,74.0,,,77.0
