ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Иванов Боян Власович,2021,Бюджет,8.3,264.1,Лечебное дело,д. Палана,+7 860 805 7433,,70.0,,51.0,60.0,
Вера Григорьевна Ситникова,2022,Целевое,6.8,277.0,Прикладная информатика,к. Петропавловск-Камчатский,8 853 291 13 99,,,,77.0,61.0,71.0
Петухова Ия Эдуардовна,2022,Целевое,8.0,360.3,Кибербезопасность,с. Котельнич,+7 (273) 107-75-22,,,80.0,100.0,100.0,
Леонтий Евстигнеевич Симонов,2021,Платка,6.6,340.6,Лечебное дело,п. Миллерово,81089477668,,100.0,,85.0,90.0,
Яковлева Акулина Егоровна,2023,Платка,7.0,341.8,Прикладная информатика,клх Карабудахкент,8 (410) 792-3367,,78.0,94.0,100.0,,
Волков Самсон Бориславович,2023,Целевое,7.8,356.7,Радиофизика,клх Соболево,+7 204 122 47 06,100.0,,,94.0,85.0,
Блинов Карл Феофанович,2022,Бюджет,9.0,319.2,Психология,клх Химки,+73074004511,83.0,74.0,,,,72.0
Агафья Руслановна Субботина,2019,Платка,9.4,319.5,Прикладная информатика,п. Владикавказ,87365586754,,56.0,71.0,99.0,,
Ларионов Сергей Демьянович,2023,Целевое,8.2,382.1,Философия,ст. Москва,8 001 129 14 84,,100.0,100.0,100.0,,
Рожкова Элеонора Дмитриевна,2023,Платка,7.3,337.0,Международные отношения,ст. Шамары,8 792 468 9933,94.0,,81.0,,,89.0
Клавдия Павловна Воронова,2020,Бюджет,9.3,312.7,Психология,ст. Енисейск,+7 (181) 015-3761,74.0,,,72.0,,74.0
Громов Христофор Ильич,2020,Бюджет,7.4,209.0,Психология,д. Курск,8 803 748 5435,,36.0,52.0,47.0,,
Ситников Петр Борисович,2023,Платка,9.7,335.2,Прикладная математика,п. Томари,+7 (040) 899-0647,,65.0,,,91.0,82.0
Шубина Анжелика Никифоровна,2020,Платка,7.1,342.5,Психология,г. Тимашевск,8 (028) 298-9186,88.0,96.0,,88.0,,
Прасковья Евгеньевна Мартынова,2019,Платка,6.2,342.6,Радиофизика,п. Избербаш,8 543 719 71 32,100.0,,,,81.0,100.0
Лукия Робертовна Романова,2021,Бюджет,6.9,280.4,Информатика,к. Аргаяш,+7 (157) 839-65-35,79.0,74.0,,,,58.0
Русакова Нина Натановна,2021,Бюджет,4.1,187.5,Радиофизика,с. Кущевская,8 718 510 31 95,55.0,,,48.0,,44.0
Никифоров Гордей Харитонович,2023,Бюджет,6.8,329.8,Прикладная информатика,п. Чермоз,+7 597 085 5526,73.0,94.0,,,95.0,
Капустина Феврония Дмитриевна,2019,Платка,9.0,342.7,Международные отношения,п. Надым,86603013432,77.0,80.0,,,96.0,
Доброслав Власович Кириллов,2023,Целевое,7.2,289.3,Философия,д. Елабуга,8 847 126 5325,76.0,,67.0,,,74.0
Галина Игоревна Кононова,2022,Бюджет,7.2,338.7,Психология,п. Усть-Калманка,+7 (795) 540-82-73,98.0,73.0,,,,96.0
Хохлов Влас Валерьянович,2019,Бюджет,8.4,268.8,Информатика,г. Апатиты,84182464864,62.0,78.0,,,,45.0
Зиновьев Ираклий Архипович,2020,Бюджет,6.9,268.7,Прикладная математика,г. Александров Гай,+7 (594) 370-1048,,,76.0,,72.0,52.0
Фадеева Марина Захаровна,2020,Бюджет,8.1,322.6,Радиофизика,клх Макаров,8 (788) 258-97-45,,86.0,86.0,,70.0,
Журавлева Наталья Семеновна,2023,Бюджет,6.5,295.3,Философия,к. Апатиты,+7 617 588 6874,,,89.0,,71.0,70.0
Кузьма Феофанович Шестаков,2021,Платка,8.0,331.1,Информатика,к. Ростов,+7 420 054 9570,,,85.0,100.0,66.0,
Сергей Арсенович Журавлев,2021,Платка,7.6,326.0,Прикладная информатика,с. Амурск,+73629288733,80.0,86.0,84.0,,,
Октябрина Антоновна Кошелева,2019,Целевое,4.7,198.6,Информатика,с. Кашира,+7 (797) 546-6257,,,32.0,,62.0,58.0
Кондрат Даниилович Абрамов,2019,Платка,6.6,257.3,История,ст. Ногинск (Моск.),8 (720) 580-90-39,,61.0,55.0,,,75.0
Копылов Никанор Антипович,2021,Целевое,6.9,301.2,Кибербезопасность,с. Жуковский,8 788 872 8635,,,72.0,75.0,,85.0
Юлия Вениаминовна Дементьева,2019,Платка,7.2,257.0,Философия,д. Краснотурьинск,+7 401 266 7935,,,56.0,58.0,,71.0
Тамара Степановна Носова,2021,Целевое,7.3,281.8,Психология,с. Невьянск,84237656782,,68.0,,53.0,88.0,
Жуков Изяслав Валерианович,2020,Целевое,8.9,388.8,Информатика,д. Нарым,+7 892 351 10 93,100.0,100.0,100.0,,,
Щукин Святослав Еремеевич,2020,Бюджет,9.7,327.5,Международные отношения,с. Мураши,8 (361) 122-37-15,92.0,,59.0,,79.0,
Пимен Валерьевич Стрелков,2019,Платка,8.5,364.2,Международные отношения,клх Куртамыш,8 101 130 24 30,100.0,86.0,,,93.0,
Прохоров Галактион Измаилович,2023,Бюджет,7.1,335.0,Психология,г. Курск,+7 (345) 144-11-20,100.0,,,78.0,86.0,
Веселова Анастасия Альбертовна,2022,Целевое,6.2,286.2,Радиофизика,п. Арсеньев,8 (194) 370-0213,60.0,,,,90.0,74.0
Воробьев Максим Адамович,2023,Бюджет,6.2,313.3,Международные отношения,г. Красноселькуп,+7 316 807 63 09,,77.0,92.0,82.0,,
Осипов Данила Давыдович,2022,Целевое,10.0,372.0,Информатика,п. Анапа,8 (089) 854-71-71,,92.0,100.0,,80.0,
Горбунова Таисия Никифоровна,2023,Бюджет,7.9,359.1,Прикладная информатика,к. Выборг,8 (420) 674-1821,,,97.0,95.0,,88.0
Феврония Аркадьевна Крылова,2023,Бюджет,8.9,322.7,Философия,д. Коломна,+7 834 273 2101,,75.0,86.0,,73.0,
Евфросиния Феликсовна Лебедева,2020,Платка,9.1,345.6,Психология,с. Октябрьский (Башк.),+7 (990) 571-58-94,,70.0,,85.0,100.0,
Родионов Панфил Тихонович,2020,Целевое,8.2,298.6,Психология,ст. Тайшет,+77848532309,,66.0,80.0,,71.0,
Дроздова Иванна Альбертовна,2023,Целевое,9.4,314.4,История,клх Находка,+7 (079) 282-2777,,,65.0,70.0,85.0,
Любим Борисович Ильин,2023,Бюджет,7.0,337.8,История,ст. Павловская,8 (773) 539-7077,,83.0,85.0,,100.0,
Татьяна Владиславовна Белова,2019,Бюджет,6.1,296.9,Лечебное дело,к. Каргополь,+7 (498) 219-0521,67.0,94.0,,75.0,,
Зинаида Семеновна Беляева,2023,Платка,7.2,360.9,Информатика,ст. Тулун,8 635 368 83 46,,,,100.0,91.0,98.0
Воронцова Эмилия Кузьминична,2021,Целевое,7.7,329.5,Радиофизика,клх Партизанск,8 (744) 795-3270,,78.0,84.0,,,91.0
Корнилова Таисия Руслановна,2021,Платка,7.7,370.2,Международные отношения,п. Екатеринбург,83995259333,100.0,,100.0,93.0,,
Фаина Оскаровна Князева,2022,Платка,8.0,344.9,История,с. Калевала,+7 445 344 8991,,92.0,87.0,,,86.0
Анна Матвеевна Григорьева,2020,Платка,6.3,292.3,Радиофизика,п. Сортавала,+7 156 701 57 15,75.0,87.0,,,67.0,
Эдуард Феликсович Селезнев,2020,Платка,6.9,336.6,Философия,к. Дубна,+7 (886) 784-1194,74.0,,,97.0,97.0,
Максимов Валерий Богданович,2020,Платка,7.0,318.8,Лечебное дело,ст. Геленджик,8 (330) 508-8093,,87.0,,73.0,,89.0
Панфил Харитонович Воронцов,2020,Бюджет,6.4,312.8,История,к. Таганрог,8 406 867 08 07,,87.0,,77.0,,85.0
Сафонова Ангелина Егоровна,2022,Бюджет,9.7,378.1,Лечебное дело,д. Дубна,+7 961 247 04 00,,100.0,86.0,,95.0,
тов. Поляков Капитон Яковлевич,2020,Платка,8.5,300.6,Психология,к. Красная Поляна,+7 605 085 7716,73.0,,,,75.0,68.0
Лора Никифоровна Жукова,2022,Бюджет,9.6,250.5,Лечебное дело,клх Токсово,8 (039) 711-22-36,,,,41.0,61.0,53.0
Тетерин Демид Харлампьевич,2020,Целевое,6.4,294.9,Психология,клх Якутск,+7 688 819 6657,,68.0,,71.0,92.0,
Мирон Бориславович Фокин,2022,Целевое,8.7,341.0,Информатика,к. Сортавала,+7 144 692 7209,89.0,81.0,,,,84.0
Евстигней Якубович Зиновьев,2019,Бюджет,8.1,150.1,Философия,клх Невьянск,+7 (485) 428-0437,,11.0,22.0,,,36.0
Исакова Ульяна Натановна,2022,Платка,9.1,385.8,История,д. Калининград,81044558974,100.0,,,95.0,,100.0
Емельянова Вероника Харитоновна,2023,Бюджет,7.2,358.0,Прикладная информатика,ст. Кандалакша,8 915 375 0985,86.0,100.0,,,100.0,
Любим Викторович Белоусов,2022,Целевое,8.2,306.6,История,г. Новомосковск,8 (691) 613-17-95,,64.0,,,76.0,85.0
Козлова Вера Игоревна,2023,Бюджет,6.6,313.1,Философия,к. Одинцово,8 066 438 5990,,,95.0,72.0,,80.0
Людмила Святославовна Полякова,2021,Целевое,6.7,231.7,История,п. Алдан,+7 828 886 15 64,,48.0,53.0,,64.0,
Валентина Григорьевна Мартынова,2023,Платка,7.6,249.0,Прикладная математика,с. Охотск,8 301 447 2524,64.0,,,53.0,56.0,
Лукьян Эдгардович Мамонтов,2020,Целевое,9.1,233.1,Кибербезопасность,д. Кущевская,8 662 103 0366,,47.0,,,53.0,42.0
Анисимова Раиса Болеславовна,2023,Целевое,7.8,240.6,Кибербезопасность,клх Иваново,8 (521) 922-47-22,,48.0,59.0,,56.0,
Фадеева Ангелина Артемовна,2022,Целевое,7.5,267.3,Информатика,с. Челябинск,8 249 180 80 07,61.0,56.0,,,75.0,
Егоров Терентий Иосипович,2023,Целевое,5.3,344.4,Международные отношения,г. Теберда,+7 (452) 347-33-04,,91.0,,,100.0,100.0
Трифон Даниилович Аксенов,2019,Платка,8.6,214.7,История,ст. Радужный,+72103580830,,48.0,,51.0,,30.0
Васильева Синклитикия Эдуардовна,2021,Целевое,7.2,304.8,Психология,клх Алагир,+7 076 050 3122,76.0,,,82.0,,75.0
Давыд Ефремович Кулагин,2023,Целевое,6.3,245.2,Кибербезопасность,с. Гагарин,+7 (403) 268-7039,,,51.0,69.0,,62.0
Марфа Святославовна Данилова,2023,Целевое,7.7,295.0,Кибербезопасность,с. Уренгой,8 564 179 63 56,76.0,,,,73.0,69.0
Регина Николаевна Данилова,2020,Бюджет,7.5,327.2,Прикладная математика,г. Теберда,8 860 072 0678,,,85.0,100.0,67.0,
Викторин Арсенович Козлов,2022,Платка,6.8,352.7,Лечебное дело,п. Апатиты,8 (229) 930-1459,89.0,,96.0,,,100.0
Екатерина Ждановна Ефимова,2022,Целевое,7.3,316.5,Кибербезопасность,клх Кузнецк,+7 996 389 5858,,,,93.0,69.0,82.0
Егорова Варвара Матвеевна,2023,Бюджет,7.7,280.9,Информатика,клх Прохладный,8 (736) 684-4281,,70.0,,,57.0,77.0
Кузнецова Синклитикия Рубеновна,2022,Платка,8.0,282.1,Информатика,п. Кизляр,8 (323) 672-4958,,70.0,81.0,,,51.0
Евгения Павловна Лапина,2021,Целевое,8.7,321.0,Лечебное дело,ст. Белореченск,8 (512) 998-89-43,82.0,67.0,,,,85.0
Комаров Каллистрат Феликсович,2020,Платка,7.8,286.1,Психология,г. Истра,8 580 389 17 07,,59.0,64.0,,85.0,
Николай Иларионович Капустин,2021,Целевое,9.1,303.7,Международные отношения,клх Петушки,+7 973 184 0080,,54.0,80.0,,,79.0
Туров Любим Адамович,2021,Целевое,7.0,227.1,Прикладная информатика,к. Дивногорск,8 (655) 747-1111,59.0,60.0,,,38.0,
Медведев Исидор Дорофеевич,2023,Целевое,9.1,294.7,Философия,п. Мытищи,8 (511) 764-3435,77.0,,,,69.0,58.0
Иннокентий Юлианович Потапов,2020,Платка,6.5,326.3,Философия,г. Верхний Уфалей,8 475 533 2298,84.0,90.0,,87.0,,
Фомичева Вероника Григорьевна,2022,Целевое,7.5,348.7,Лечебное дело,п. Тутончаны,+7 443 211 8041,,100.0,84.0,,,90.0
Ситникова Милица Рудольфовна,2023,Платка,7.5,319.8,Прикладная информатика,с. Челябинск,86703541327,,86.0,85.0,,74.0,
Лихачева Анжелика Макаровна,2023,Целевое,7.4,333.9,Прикладная математика,ст. Смирных,83859378050,85.0,,89.0,,86.0,
Анна Степановна Карпова,2023,Бюджет,7.1,326.5,Прикладная информатика,п. Качканар,+7 986 468 0627,69.0,,96.0,90.0,,
Дементьев Аникей Тарасович,2022,Платка,7.4,354.7,Кибербезопасность,ст. Соловки,8 084 348 18 09,83.0,,,100.0,,98.0
Милован Аксёнович Родионов,2019,Целевое,7.7,278.7,Международные отношения,п. Крымск,+7 382 803 9664,,,61.0,,76.0,65.0
Крылова Иванна Филипповна,2020,Платка,5.3,353.4,Прикладная информатика,с. Семлячики,8 687 243 57 64,100.0,100.0,,100.0,,
Брагин Милован Терентьевич,2023,Бюджет,6.9,286.3,Радиофизика,клх Поронайск,+7 (510) 314-98-59,,,83.0,73.0,61.0,
Блинова Евфросиния Макаровна,2020,Бюджет,10.0,231.9,Психология,п. Сосногорск,+7 055 756 08 08,39.0,,44.0,,,49.0
Фаина Рудольфовна Власова,2019,Бюджет,9.9,258.5,Философия,к. Алагир,+7 488 624 65 49,,30.0,,67.0,63.0,
Сильвестр Дорофеевич Павлов,2021,Платка,10.0,264.0,Кибербезопасность,ст. Череповец,+7 (879) 023-8390,60.0,,,,50.0,54.0
Марина Федоровна Константинова,2023,Платка,7.6,259.2,Философия,с. Борзя,+79073574495,,57.0,60.0,66.0,,
Кабанов Евгений Аверьянович,2020,Целевое,8.2,314.5,Прикладная математика,г. Теберда,+73405840659,,79.0,81.0,,,72.0
Трофимов Фотий Якубович,2021,Платка,7.4,318.4,История,клх Холмск,8 (869) 514-4311,89.0,,68.0,,87.0,
Арефий Владленович Гришин,2022,Платка,6.8,221.9,Радиофизика,п. Якша,+75955712155,,40.0,,52.0,62.0,
Пров Трифонович Рожков,2019,Бюджет,7.8,346.7,Лечебное дело,д. Нязепетровск,8 216 945 6911,,100.0,69.0,,,100.0
София Леоновна Корнилова,2019,Платка,8.2,310.7,Психология,с. Снежинск,8 728 799 34 62,83.0,,74.0,,,72.0
Валерия Леоновна Жукова,2021,Платка,8.9,325.6,Психология,к. Серафимович,8 (907) 888-0592,81.0,,,73.0,83.0,
Горшкова Глафира Тимофеевна,2021,Целевое,7.5,312.8,Международные отношения,п. Сладково,8 (533) 605-8134,,,53.0,89.0,96.0,
Глафира Кузьминична Петухова,2021,Бюджет,8.0,295.9,Прикладная информатика,г. Быково (метеост.),+7 (897) 897-48-13,,60.0,,,77.0,79.0
Владимирова Галина Владимировна,2021,Платка,8.6,260.4,Кибербезопасность,п. Кострома,+7 632 305 53 50,68.0,,61.0,,45.0,
Елизавета Яковлевна Некрасова,2022,Бюджет,8.0,335.2,Радиофизика,д. Дивногорск,+7 213 563 9277,,77.0,,,88.0,90.0
Давыд Иларионович Кондратьев,2023,Платка,7.9,379.2,История,д. Змеиногорск,8 (967) 227-27-74,100.0,,100.0,,100.0,
Комаров Никифор Ааронович,2019,Целевое,6.6,312.1,Прикладная информатика,с. Нарткала,+7 760 408 11 33,,84.0,,,77.0,85.0
Медведева Наталья Ильинична,2023,Бюджет,5.2,256.3,История,г. Октябрьское (Челяб.),83669487744,,,64.0,66.0,74.0,
Коновалов Аполлон Евстигнеевич,2023,Бюджет,8.6,335.3,Прикладная информатика,к. Уварово,86668727299,,73.0,89.0,,,87.0
Любим Андреевич Никонов,2020,Целевое,8.5,215.0,Информатика,д. Котлас,+7 585 829 03 00,,,,50.0,40.0,40.0
Харлампий Тарасович Ситников,2022,Бюджет,6.0,272.1,Международные отношения,д. Хоста,+7 644 215 55 13,89.0,,53.0,,,70.0
Синклитикия Ждановна Маслова,2023,Бюджет,4.0,278.0,Прикладная математика,клх Шелехов,83643108140,,65.0,,,81.0,92.0
Стрелков Арсений Ефимьевич,2022,Платка,6.9,348.1,Прикладная математика,ст. Каспийск,+7 (745) 205-18-68,80.0,,99.0,100.0,,
Виктория Сергеевна Алексеева,2022,Платка,8.8,358.7,Прикладная информатика,д. Адыгейск,+7 (269) 923-6966,78.0,,,100.0,93.0,
Ершова Вера Ждановна,2022,Бюджет,5.4,353.8,Кибербезопасность,к. Асбест,+7 (067) 416-52-31,,100.0,100.0,,,100.0
Нина Степановна Мамонтова,2022,Платка,6.5,253.1,Радиофизика,ст. Пятигорск,+7 569 056 4656,60.0,,,,67.0,61.0
Горшкова Анна Наумовна,2019,Целевое,7.7,349.9,Философия,г. Верхний Баскунчак,+7 (321) 908-18-70,94.0,,83.0,,96.0,
Воронцова Иванна Федоровна,2019,Бюджет,5.9,297.8,Лечебное дело,д. Малгобек,8 (980) 686-09-25,,,79.0,,73.0,87.0
Горбунов Лукьян Васильевич,2019,Бюджет,7.7,255.3,Информатика,к. Шаховская,8 (576) 654-11-30,,52.0,,,60.0,66.0
Александра Кузьминична Маркова,2022,Бюджет,7.8,352.2,Кибербезопасность,г. Карачаевск,8 (744) 994-0396,,87.0,95.0,,,92.0
София Геннадиевна Матвеева,2021,Бюджет,8.6,278.1,Радиофизика,г. Костомукша,+7 979 186 3688,40.0,,,73.0,79.0,
Тарасов Милий Германович,2023,Бюджет,6.8,360.6,Прикладная информатика,клх Химки,8 (199) 246-0870,93.0,,100.0,100.0,,
Екатерина Харитоновна Панова,2023,Бюджет,7.0,316.6,Лечебное дело,к. Ербогачен,8 (891) 498-5475,,,,71.0,85.0,91.0
Лукина Октябрина Натановна,2019,Платка,6.8,254.4,Прикладная математика,клх Усть-Ордынский,8 814 959 14 09,,,63.0,,47.0,76.0
Дроздова Нинель Святославовна,2020,Целевое,9.2,251.4,История,д. Терскол,+7 592 008 9070,59.0,48.0,52.0,,,
Вениамин Зиновьевич Фадеев,2023,Целевое,8.7,340.5,Кибербезопасность,к. Ноябрьск,8 036 110 84 46,71.0,85.0,97.0,,,
Борисова Милица Эльдаровна,2023,Бюджет,8.5,294.8,Прикладная математика,клх Богучар,88707126395,,66.0,,,61.0,83.0
Королева Анжелика Харитоновна,2023,Целевое,6.1,310.7,Информатика,ст. Норильск,+7 (164) 537-8198,74.0,,82.0,,,94.0
Надежда Дмитриевна Кабанова,2022,Бюджет,8.2,370.2,Радиофизика,клх Клин,+7 (562) 598-16-54,97.0,91.0,,,,100.0
Модест Дмитриевич Рожков,2022,Бюджет,8.4,282.9,Информатика,ст. Воронеж,8 682 489 65 94,,66.0,65.0,,,68.0
Русакова Элеонора Рубеновна,2022,Бюджет,7.3,248.7,Международные отношения,с. Кингисепп,+7 619 166 26 55,52.0,58.0,66.0,,,
Кузнецова Эмилия Вениаминовна,2019,Целевое,7.5,375.3,Радиофизика,ст. Снежногорск (Мурм.),+7 135 797 6005,100.0,,100.0,,,100.0
Зоя Мироновна Дмитриева,2020,Платка,8.4,329.6,Международные отношения,п. Краснокамск,89417947931,,91.0,68.0,87.0,,
Дементьев Виктор Фокич,2021,Бюджет,7.1,333.8,Психология,п. Плес,+7 930 439 72 56,,,87.0,86.0,90.0,
Светлана Сергеевна Воронова,2022,Целевое,5.7,274.4,Прикладная информатика,г. Смоленск,88596984152,82.0,,,67.0,68.0,
Ситников Чеслав Филатович,2020,Целевое,7.2,320.3,Международные отношения,с. Шарья,8 (527) 460-73-96,84.0,,76.0,,88.0,
Татьяна Владимировна Хохлова,2020,Платка,5.5,327.3,Лечебное дело,клх Якша,8 (934) 869-72-31,,93.0,93.0,86.0,,
Петрова Ксения Ефимовна,2019,Целевое,6.0,293.9,Радиофизика,д. Каспийск,+7 (289) 181-59-75,,,82.0,,69.0,83.0
Зимин Фока Федосеевич,2020,Целевое,8.2,284.7,Международные отношения,клх Кош-Агач,+7 (835) 779-96-17,69.0,59.0,,,,75.0
Дроздов Григорий Артурович,2023,Целевое,9.4,313.0,Философия,ст. Белореченск,+77688848459,74.0,63.0,,,82.0,
Самсонов Иосиф Андреевич,2023,Платка,8.1,252.6,Философия,п. Каргасок,8 (251) 951-8068,68.0,,,50.0,,54.0
Третьяков Ладислав Федосьевич,2020,Платка,6.5,322.0,История,к. Светлогорск (Калин.),+7 (993) 561-5551,,86.0,,88.0,,83.0
Воронцов Елисей Филиппович,2020,Целевое,7.5,370.1,Информатика,к. Хоста,+7 263 415 16 45,,100.0,95.0,100.0,,
Кошелева Фёкла Святославовна,2023,Целевое,4.8,280.5,Кибербезопасность,к. Заводоуковск,8 (793) 982-72-32,71.0,88.0,,,,73.0
Ангелина Григорьевна Григорьева,2020,Платка,8.2,354.1,Международные отношения,п. Усолье Сибирское,8 (656) 392-12-69,100.0,,80.0,,,92.0
Василий Ааронович Семенов,2023,Целевое,7.7,271.3,Международные отношения,к. Иваново,8 296 510 85 97,68.0,74.0,,,52.0,
Ермаков Фома Абрамович,2022,Платка,8.1,283.9,Кибербезопасность,к. Луга,8 (166) 625-48-88,59.0,66.0,78.0,,,
Таисия Ждановна Гордеева,2023,Платка,6.4,363.5,Информатика,клх Кимры,8 (067) 118-70-17,,,100.0,100.0,100.0,
Лариса Евгеньевна Исакова,2019,Бюджет,7.5,329.0,Радиофизика,п. Луховицы,8 465 174 5827,91.0,,,90.0,73.0,
Гаврилова Регина Тимуровна,2020,Целевое,6.9,258.4,Прикладная математика,клх Красновишерск,+7 (553) 409-6375,48.0,,67.0,74.0,,
Тетерин Святополк Ефстафьевич,2020,Целевое,7.2,314.0,История,д. Плес,+7 (645) 276-0025,,75.0,,96.0,,71.0
Оксана Кузьминична Макарова,2023,Платка,6.7,295.2,Прикладная математика,ст. Петропавловск-Камчатский,+79984271187,66.0,,,82.0,,80.0
Любовь Эльдаровна Медведева,2023,Целевое,8.7,366.1,Информатика,п. Крымск,8 (942) 514-2897,,,,100.0,79.0,100.0
Силина Анжелика Никифоровна,2021,Целевое,6.0,259.5,Кибербезопасность,п. Уэлен,8 (223) 228-07-06,,71.0,,56.0,,72.0
Арсений Елисеевич Владимиров,2019,Бюджет,8.3,311.2,Лечебное дело,клх Новороссийка,+7 746 963 7673,76.0,,71.0,,81.0,
Кудрявцев Никанор Глебович,2023,Целевое,9.4,341.4,Радиофизика,клх Ростов-на-Дону,8 (172) 513-16-24,99.0,85.0,,,63.0,
Воронцов Лучезар Васильевич,2019,Платка,8.6,287.1,Лечебное дело,с. Вязьма,+7 927 419 2785,58.0,,69.0,,,74.0
Мирослав Викторович Чернов,2021,Целевое,6.0,285.0,Радиофизика,д. Ульяновск,87988118987,57.0,,,97.0,71.0,
Евстафий Гертрудович Соболев,2022,Платка,7.7,311.4,Прикладная математика,г. Неплюевка,8 567 330 0250,,,,67.0,90.0,77.0
Бронислав Антипович Васильев,2020,Бюджет,8.3,332.2,История,п. Сальск,+7 (929) 657-06-15,100.0,67.0,,,,82.0
Добромысл Владиславович Самсонов,2019,Целевое,7.4,332.0,История,г. Котлас,8 437 729 5009,,,91.0,70.0,97.0,
Алина Семеновна Петрова,2022,Платка,6.2,305.0,Информатика,к. Кетченеры,+7 603 146 66 19,74.0,81.0,,88.0,,
Воробьев Адриан Денисович,2023,Целевое,8.1,286.6,Прикладная математика,п. Серпухов,88033591453,,68.0,58.0,80.0,,
Авдей Тихонович Родионов,2020,Целевое,6.9,202.4,Психология,ст. Каменск-Шахтинский,8 (745) 519-6298,,,39.0,36.0,,58.0
Кондратьев Панкрат Елизарович,2020,Целевое,9.2,334.1,Информатика,п. Шенкурск,8 (892) 698-44-87,,,94.0,,76.0,72.0
Воробьев Любосмысл Валентинович,2021,Платка,6.5,365.0,Информатика,клх Елатьма,8 (820) 186-94-83,100.0,,100.0,100.0,,
Селезнев Твердислав Вячеславович,2021,Бюджет,5.7,346.0,Прикладная информатика,с. Мелеуз,86933557988,,,96.0,98.0,,95.0
Нестерова Елена Викторовна,2021,Целевое,9.9,372.9,Философия,клх Куртамыш,8 (362) 084-7877,93.0,,,,89.0,92.0
Федотов Глеб Даниилович,2019,Целевое,8.6,385.7,Лечебное дело,г. Костомукша,84918598475,,100.0,,,100.0,100.0
Светлана Станиславовна Ершова,2021,Целевое,8.3,325.0,История,д. Инта,+7 741 083 8857,81.0,,74.0,,,87.0
Брагин Валерий Адрианович,2022,Бюджет,6.2,311.8,Прикладная информатика,к. Нефтекамск,+7 675 599 5035,,76.0,84.0,,90.0,
Громова Марфа Викторовна,2019,Платка,7.5,347.9,Радиофизика,клх Армавир,8 (117) 463-31-11,93.0,,99.0,,,81.0
Филипп Якубович Гурьев,2021,Платка,8.5,346.2,Психология,клх Бирск,83063455639,88.0,,,73.0,100.0,
Хохлова София Владиславовна,2022,Платка,8.6,299.7,Прикладная информатика,клх Руза,8 244 693 31 31,,70.0,76.0,68.0,,
Волков Август Тихонович,2020,Платка,6.7,313.1,Прикладная информатика,с. Егорьевск,+7 (811) 711-83-57,80.0,,,,81.0,85.0
Александрова Вероника Альбертовна,2019,Бюджет,4.9,308.2,История,ст. Солнечногорск,+7 686 976 2954,,84.0,,75.0,100.0,
Владимир Фролович Федотов,2023,Платка,7.0,354.3,Радиофизика,д. Усть-Камчатск,+74869610193,,100.0,,95.0,,89.0
Ильина Пелагея Кузьминична,2022,Бюджет,9.0,367.5,История,г. Тверь,8 (353) 235-72-43,100.0,,78.0,,100.0,
Савельев Дементий Захарьевич,2023,Бюджет,8.0,312.9,Кибербезопасность,п. Оленегорск (Якут.),83000271171,78.0,,72.0,,,83.0
Сазонова Алевтина Сергеевна,2021,Платка,6.7,232.4,Прикладная информатика,г. Куртамыш,84905601734,,45.0,77.0,,,43.0
Василиса Романовна Цветкова,2020,Платка,9.0,348.8,Международные отношения,д. Бологое,86276241937,93.0,89.0,,,,77.0
Самойлов Сильвестр Иосифович,2019,Платка,8.8,291.4,История,п. Лазаревское,+7 (498) 763-91-49,,62.0,69.0,,,72.0
Денисова Анна Геннадиевна,2023,Бюджет,7.8,355.1,Психология,к. Печенга,+7 464 776 84 64,,,95.0,86.0,,96.0
Леонтий Терентьевич Комиссаров,2019,Платка,7.5,243.4,Философия,п. Вязьма,8 921 772 39 49,,45.0,,,68.0,55.0
Дарья Семеновна Жукова,2022,Платка,8.7,287.4,Психология,к. Амдерма,+7 (654) 040-4504,,,73.0,,65.0,62.0
Попова Прасковья Михайловна,2021,Целевое,7.4,189.0,Философия,г. Ахтубинск,+7 (006) 982-83-38,45.0,,31.0,,,39.0
Агата Аркадьевна Пономарева,2020,Платка,7.6,218.8,История,д. Осташков,+7 (170) 389-3725,50.0,41.0,,,,52.0
Маслова Дарья Тимофеевна,2020,Платка,9.5,278.1,Философия,ст. Балашиха,85136683517,66.0,55.0,,,,62.0
Екатерина Ефимовна Воробьева,2019,Целевое,6.1,342.2,Информатика,с. Тарко-Сале,8 400 602 5978,98.0,,85.0,,98.0,
Зиновьев Викентий Измаилович,2019,Целевое,8.7,336.2,Психология,с. Ельня,8 (717) 647-55-50,81.0,,71.0,,,97.0
Агафонов Макар Харламович,2019,Платка,5.9,300.1,Психология,с. Котельнич,+7 (533) 315-4111,87.0,,77.0,,,77.0
Ширяев Галактион Марсович,2020,Платка,5.7,342.6,Радиофизика,с. Радужный,8 677 015 79 63,99.0,,100.0,,,87.0
Таисия Павловна Селезнева,2019,Платка,7.1,319.0,Информатика,с. Домодедово,8 (806) 215-07-12,88.0,,,,83.0,77.0
Давыдова Марфа Артемовна,2023,Целевое,7.8,333.7,Философия,с. Бавлы,+7 (554) 479-9004,,,,84.0,96.0,76.0
Парамон Геннадиевич Рожков,2023,Целевое,5.6,274.7,Лечебное дело,к. Пышма,+7 880 495 15 04,71.0,,,80.0,68.0,
